Frame_No,Template_No,x,y,mx,my
2,1,100,237,99.95316,236.97028
2,2,215,226,214.99567,225.96161
2,3,368,194,367.99335,193.98688
2,4,675,218,675.0038,217.99574
2,5,1062,48,1061.993,48.012085
2,6,818,434,817.9789,433.99808
3,1,100,237,99.57765,236.8616
3,2,215,226,214.62587,225.74623
3,3,368,194,367.794,193.868
3,4,675,218,674.9637,217.97897
3,5,1062,48,1061.2759,48.125698
3,6,818,434,817.9035,434.1211
4,1,100,237,99.792366,236.82758
4,2,215,226,214.83441,225.70992
4,3,368,194,367.82895,193.87097
4,4,675,218,675.0069,218.00818
4,5,1062,48,1061.2107,48.413338
4,6,818,434,817.91534,434.09857
5,1,100,237,99.66182,236.28304
5,2,215,226,214.7027,225.34332
5,3,368,194,367.78476,193.37193
5,4,675,218,675.03644,217.55594
5,5,1062,48,1061.0177,47.95381
5,6,818,434,817.9087,433.38657
6,1,100,237,100.134674,236.00804
6,2,215,226,215.19365,225.04982
6,3,368,194,368.4359,193.16455
6,4,675,218,675.4121,217.02667
6,5,1062,48,1061.488,47.850212
6,6,818,434,818.2932,432.91168
7,1,100,237,100.018715,235.82442
7,2,215,226,215.07605,224.79517
7,3,368,194,368.08145,192.84995
7,4,675,218,675.33386,216.68454
7,5,1062,48,1061.0986,47.242046
7,6,818,434,818.1952,432.64246
8,1,100,237,100.04316,235.85513
8,2,215,226,215.11446,224.83356
8,3,368,194,368.5352,192.90628
8,4,675,218,675.3446,216.65352
8,5,1062,48,1061.1302,47.24605
8,6,818,434,818.38446,432.6166
9,1,100,237,100.03742,235.49896
9,2,215,226,215.11218,224.30807
9,3,368,194,368.66647,192.62276
9,4,675,218,675.4131,216.09683
9,5,1062,48,1061.2506,46.995895
9,6,818,434,818.7256,432.27545
10,1,100,237,99.99591,235.76115
10,2,215,226,215.0277,224.75316
10,3,368,194,368.5664,192.85466
10,4,675,218,675.592,216.9421
10,5,1062,48,1061.1289,47.244907
10,6,818,434,818.66315,432.4379
11,1,100,237,100.05932,234.986
11,2,215,226,215.18655,223.94347
11,3,368,194,368.5477,192.0335
11,4,675,218,675.5203,216.14648
11,5,1062,48,1061.0681,46.255455
11,6,818,434,818.8439,431.56064
12,1,100,237,100.0076,235.42659
12,2,215,226,215.02191,224.33884
12,3,368,194,368.3156,192.28853
12,4,675,218,675.4752,215.96928
12,5,1062,48,1060.9653,46.440334
12,6,818,434,818.86487,431.72787
13,1,100,237,100.33909,235.06651
13,2,215,226,215.32307,223.95578
13,3,368,194,368.76855,191.89891
13,4,675,218,675.9349,215.71617
13,5,1062,48,1061.0876,45.9857
13,6,818,434,819.1556,431.02097
14,1,100,237,99.87301,235.00043
14,2,215,226,214.9816,223.97534
14,3,368,194,368.34406,191.80495
14,4,675,218,675.13965,215.27554
14,5,1062,48,1060.7874,45.85609
14,6,818,434,818.735,430.79233
15,1,100,237,99.97285,235.06535
15,2,215,226,215.05559,223.9641
15,3,368,194,368.5973,191.82497
15,4,675,218,675.5158,215.32892
15,5,1062,48,1061.1061,45.56937
15,6,818,434,818.87024,430.46448
16,1,100,237,99.82324,235.5377
16,2,215,226,214.98384,224.02324
16,3,368,194,368.34744,191.67957
16,4,675,218,675.48315,214.92929
16,5,1062,48,1060.5217,45.15908
16,6,818,434,818.8888,430.0792
17,1,100,237,100.24772,235.61473
17,2,215,226,215.26628,224.1527
17,3,368,194,368.83536,191.70651
17,4,675,218,676.0301,214.85535
17,5,1062,48,1060.7124,44.84518
17,6,818,434,819.8351,429.76144
18,1,100,237,100.21957,235.6043
18,2,215,226,215.15462,224.07782
18,3,368,194,368.61127,191.44443
18,4,675,218,675.80927,214.23083
18,5,1062,48,1059.9657,43.851425
18,6,818,434,819.8794,429.0824
